TWPHI_00001	abamectin
TWPHI_00002	acephate
TWPHI_00003	acetamiprid
TWPHI_00004	allethrin
TWPHI_00005	arsenic trioxide
TWPHI_00006	azadirachtin
TWPHI_00007	bifenthrin
TWPHI_00008	borate
TWPHI_00009	canola oil
TWPHI_00010	carbaryl
TWPHI_00011	chlorantraniliprole
TWPHI_00012	clothianidin
TWPHI_00013	codling moth granulosis virus
TWPHI_00014	cryolite
TWPHI_00015	cyfluthrin
TWPHI_00016	cypermethrin
TWPHI_00017	diflubenzuron
TWPHI_00018	dinotefuran
TWPHI_00019	disulfoton
TWPHI_00020	emamectin benzoate
TWPHI_00021	fipronil
TWPHI_00022	fluvalinate
TWPHI_00023	horticultural oil
TWPHI_00024	hydramethylnon
TWPHI_00025	imidacloprid
TWPHI_00026	jojoba oil
TWPHI_00027	lambda-cyhalothrin
TWPHI_00028	malathion
TWPHI_00029	neem oil
TWPHI_00030	permethrin
TWPHI_00031	pyrethrin
TWPHI_00032	resmethrin
TWPHI_00033	rotenone
TWPHI_00034	spinosad
TWPHI_00035	sulfluramid
TWPHI_00036	thiamethoxam
TWPHI_00037	2,4-D
TWPHI_00038	benefin
TWPHI_00039	bensulide
TWPHI_00040	bentazon
TWPHI_00041	bromoxynil
TWPHI_00042	cacodylic acid
TWPHI_00043	calcium acid methanearsonate
TWPHI_00044	carfentrazone
TWPHI_00045	chlorsulfuron
TWPHI_00046	clethodim
TWPHI_00047	DCPA
TWPHI_00048	dicamba
TWPHI_00049	dichlobenil
TWPHI_00050	dimethenamid-P
TWPHI_00051	diquat
TWPHI_00052	dithiopyr
TWPHI_00053	EPTC
TWPHI_00054	fluazifop
TWPHI_00055	fluroxypyr
TWPHI_00056	foramsulfuron
TWPHI_00057	glufosinate
TWPHI_00058	glyphosate
TWPHI_00059	halosulfuron
TWPHI_00060	hexazinone
TWPHI_00061	imazapyr
TWPHI_00062	isoxaben
TWPHI_00063	MCPA
TWPHI_00064	mecoprop
TWPHI_00065	metolachlor
TWPHI_00066	MSMA
TWPHI_00067	napropamide
TWPHI_00068	oryzalin
TWPHI_00069	oxadiazon
TWPHI_00070	oxyfluorfen
TWPHI_00071	pelargonic acid
TWPHI_00072	pendimethalin
TWPHI_00073	prodiamine
TWPHI_00074	pronamide
TWPHI_00075	quinclorac
TWPHI_00076	sethoxydim
TWPHI_00077	siduron
TWPHI_00078	sulfosulfuron
TWPHI_00079	tebuthiuron
TWPHI_00080	triclopyr
TWPHI_00081	trifloxysulfuron-sodium
TWPHI_00082	trifluralin
TWPHI_00083	calcium polysulfide
TWPHI_00084	chlorothalonil
TWPHI_00085	copper ammonium complex
TWPHI_00086	copper hydroxide
TWPHI_00087	copper octanoate
TWPHI_00088	copper oxychloride sulfate
TWPHI_00089	cupric hydroxide
TWPHI_00090	fosetyl-al
TWPHI_00091	mancozeb
TWPHI_00092	myclobutanil
TWPHI_00093	phosphorous acid
TWPHI_00094	potassium bicarbonate
TWPHI_00095	soap
TWPHI_00096	sulfur
TWPHI_00097	thiophanate methyl
TWPHI_00098	tribasic copper sulfate
TWPHI_00099	triforine
TWPHI_00100	ferric sodium EDTA
TWPHI_00101	iron phosphate
TWPHI_00102	metaldehyde
TWPHI_00103	abamectin-aminomethyl
TWPHI_00104	abscisic acid
TWPHI_00105	ACC
TWPHI_00106	acequinocyl
TWPHI_00107	acethion
TWPHI_00108	acetochlor
TWPHI_00109	acetofenate
TWPHI_00110	acetophos
TWPHI_00111	acetoprole
TWPHI_00112	acibenzolar
TWPHI_00113	acifluorfen
TWPHI_00114	aclonifen
TWPHI_00115	ACN
TWPHI_00116	acrep
TWPHI_00117	acrinathrin
TWPHI_00118	acrolein
TWPHI_00119	acrylonitrile
TWPHI_00120	acynonapyr
TWPHI_00121	acypetacs
TWPHI_00122	afidopyropen
TWPHI_00123	afoxolaner
TWPHI_00124	(S)-afoxolaner
TWPHI_00125	AITC
TWPHI_00126	alachlor
TWPHI_00127	alanap
TWPHI_00128	alanycarb
TWPHI_00129	albendazole
TWPHI_00130	aldicarb
TWPHI_00131	aldicarb sulfone
TWPHI_00132	aldimorph
TWPHI_00133	aldoxycarb
TWPHI_00134	aldrin
TWPHI_00135	d-trans-allethrin
TWPHI_00136	allicin
TWPHI_00137	allidochlor
TWPHI_00138	allosamidin
TWPHI_00139	alloxydim
TWPHI_00140	allyl alcohol
TWPHI_00141	allyl isothiocyanate
TWPHI_00142	allyxycarb
TWPHI_00143	alorac
TWPHI_00144	alpha-bromadiolone
TWPHI_00145	alpha-cypermethrin
TWPHI_00146	alpha-endosulfan
TWPHI_00147	alphamethrin
TWPHI_00148	altretamine
TWPHI_00149	aluminium phosTWPHIde
TWPHI_00150	aluminum phosTWPHIde
TWPHI_00151	ametoctradin
TWPHI_00152	ametridione
TWPHI_00153	ametryn
TWPHI_00154	ametryne
TWPHI_00155	amibuzin
TWPHI_00156	amicarbazone
TWPHI_00157	amicarthiazol
TWPHI_00158	amidithion
TWPHI_00159	amidochlor
TWPHI_00160	amidoflumet
TWPHI_00161	amidosulfuron
TWPHI_00162	aminocarb
TWPHI_00163	aminocyclopyrachlor
TWPHI_00164	aminopyralid
TWPHI_00165	4-aminopyridine
TWPHI_00166	aminopyrifen
TWPHI_00167	aminotriazole
TWPHI_00168	amiprofos-methyl
TWPHI_00169	amiprophos
TWPHI_00170	amiprophos-methyl
TWPHI_00171	amisulbrom
TWPHI_00172	amiton
TWPHI_00173	amitraz
TWPHI_00174	amitrole
TWPHI_00175	ammonium sulfamate
TWPHI_00176	amobam
TWPHI_00177	amorphous silica gel
TWPHI_00178	amorphous silicon dioxide
TWPHI_00179	ampropylfos
TWPHI_00180	AMS
TWPHI_00181	anabasine
TWPHI_00182	ancymidol
TWPHI_00183	anilazine
TWPHI_00184	anilofos
TWPHI_00185	anisiflupurin
TWPHI_00186	anisuron
TWPHI_00187	anthraquinone
TWPHI_00188	antimony potassium tartrate
TWPHI_00189	antu
TWPHI_00190	apholate
TWPHI_00191	aramite
TWPHI_00192	arprocarb
TWPHI_00193	arsenous oxide
TWPHI_00194	asomate
TWPHI_00195	asulam
TWPHI_00196	athidathion
TWPHI_00197	atraton
TWPHI_00198	atrazine
TWPHI_00199	aureofungin
TWPHI_00200	avermectin B1
TWPHI_00201	AVG
TWPHI_00202	aviglycine
TWPHI_00203	azaconazole
TWPHI_00204	azafenidin
TWPHI_00205	azamethiphos
TWPHI_00206	azidithion
TWPHI_00207	azimsulfuron
TWPHI_00208	azinphos-ethyl
TWPHI_00209	azinphosethyl
TWPHI_00210	azinphos-methyl
TWPHI_00211	azinphosmethyl
TWPHI_00212	aziprotryn
TWPHI_00213	aziprotryne
TWPHI_00214	azithiram
TWPHI_00215	azobenzene
TWPHI_00216	azocyclotin
TWPHI_00217	azothoate
TWPHI_00218	azoxystrobin
TWPHI_00219	bachmedesh
TWPHI_00220	barban
TWPHI_00221	barbanate
TWPHI_00222	barium hexafluorosilicate
TWPHI_00223	barium polysulfide
TWPHI_00224	barium silicofluoride
TWPHI_00225	barthrin
TWPHI_00226	basic copper carbonate
TWPHI_00227	basic copper chloride
TWPHI_00228	basic copper sulfate
TWPHI_00229	BCPC
TWPHI_00230	beflubutamid
TWPHI_00231	beflubutamid-M
TWPHI_00232	benalaxyl
TWPHI_00233	benalaxyl-M
TWPHI_00234	benazolin
TWPHI_00235	bencarbazone
TWPHI_00236	benclothiaz
TWPHI_00237	bendaqingbingzhi
TWPHI_00238	bendiocarb
TWPHI_00239	bendioxide
TWPHI_00240	benfluralin
TWPHI_00241	benfuracarb
TWPHI_00242	benfuresate
TWPHI_00243	benmihuangcaoan
TWPHI_00244	benodanil
TWPHI_00245	benomyl
TWPHI_00246	benoxacor
TWPHI_00247	benoxafos
TWPHI_00248	benquinox
TWPHI_00249	benquitrione
TWPHI_00250	bensulfuron
TWPHI_00251	bensultap
TWPHI_00252	bentaluron
TWPHI_00253	bentazone
TWPHI_00254	benthiavalicarb
TWPHI_00255	benthiazole
TWPHI_00256	benthiocarb
TWPHI_00257	bentranil
TWPHI_00258	benzadox
TWPHI_00259	benzalkonium chloride
TWPHI_00260	benzamacril
TWPHI_00261	benzamizole
TWPHI_00262	benzamorf
TWPHI_00263	benzene hexachloride
TWPHI_00264	benzfendizone
TWPHI_00265	benzimine
TWPHI_00266	benzipram
TWPHI_00267	benzobicyclon
TWPHI_00268	benzoepin
TWPHI_00269	benzofenap
TWPHI_00270	benzofluor
TWPHI_00271	benzohydroxamic acid
TWPHI_00272	benzomate
TWPHI_00273	benzophosphate
TWPHI_00274	benzothiadiazole
TWPHI_00275	benzovindiflupyr
TWPHI_00276	benzoximate
TWPHI_00277	benzoylprop
TWPHI_00278	benzpyrimoxan
TWPHI_00279	benzthiazuron
TWPHI_00280	benzuocaotong
TWPHI_00281	benzyladenine
TWPHI_00282	benzyl benzoate
TWPHI_00283	berberine
TWPHI_00284	beta-cyfluthrin
TWPHI_00285	beta-cypermethrin
TWPHI_00286	bethoxazin
TWPHI_00287	BHC
