paper_id,paper_name,head_id,head_name,paragraph_id,sentence_id,sentence_text
0,17900545,0,title,0,0,EPIGALLOCATECHIN GALLATE (EGCG) POTENTIATES THE CYTOTOXICITY OF ROTENONE IN NEUROBLASTOMA SH-SY5Y CELLS
0,17900545,1,Introduction,0,0,A number of studies suggest that oxidative stress that results in the excess production of reactive oxygen species may be involved in the development of neurodegenerative disorders such as Parkinson's disease.
0,17900545,1,Introduction,0,1,Rotenone is a complex 1 inhibitor and is one of the common neurotoxic agents used to examine the development of Parkinson's disease in animal models.
0,17900545,1,Introduction,0,2,"This pesticide increases the formation of ROS and induces toxicity in primary dopaminergic cultures from embryonic mouse mesencephala, in rat PC12 cells and human neuroblastoma SH-SY5Y cells."
0,17900545,1,Introduction,1,0,"Plant polyphenols are commonly considered as dietary antioxidants and, as such, may protect against neuronal cell injury caused by neurotoxic agents that act via the production of ROS."
0,17900545,1,Introduction,1,1,"Indeed, epigallocatechin gallate (EGCG), a major polyphenol in green tea, was found to protect neuronal cells against the cytotoxic effects of 6-hydroxydopamine, Nmethyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP), amyloid β peptide, N-methyl-D-aspartate, 3hydroxykynurenine, and hydrogen peroxide."
0,17900545,1,Introduction,1,2,"Possible neuroprotective mechanisms of EGCG not only include simple radical scavenging and metalchelating properties but also involve cellular mechanisms such as the stimulation of protein kinase C, modulation of cell survival/cell cycle genes, inhibition of death signals including GSK-3, and modulation of mitochondrial function."
0,17900545,1,Introduction,1,3,"However, more recently, studies indicated that polyphenolic compounds may have concentration-dependent mode of actions associated with the extent of redox imbalance and cell type."
0,17900545,1,Introduction,2,0,"The present work was carried out to determine to what extent EGCG would modulate the cytotoxic effects of rotenone in SH-SY5Y neuroblastoma cells, a commonly used cellular PD model."
0,17900545,1,Introduction,2,1,Our results demonstrate that EGCG exacerbated rather than prevented the cytotoxic and apoptotic effects of rotenone in SH-SY5Y cells.
0,17900545,2,Cytotoxicity of rotenone and EGCG,0,0,Initial experiments were first performed to determine whether rotenone alone or EGCG alone was toxic to human neuroblastoma cells (SH-SY5Y) by measuring LDH in the culture medium.
0,17900545,2,Cytotoxicity of rotenone and EGCG,0,1,"During necrosis or late apoptosis, there is a loss of membrane integrity and LDH is released into the surrounding media."
