,pmid,doi,pub_year,is_oa,landing_url,pdf_url,is_accepted,is_published,is_retracted,cited_by_count,referenced_count
0,30502744,10.1016/j.envres.2018.10.023,2018,False,https://doi.org/10.1016/j.envres.2018.10.023,,True,True,False,591,141
1,26561452,10.1016/j.envpol.2015.10.050,2015,False,https://doi.org/10.1016/j.envpol.2015.10.050,,True,True,False,307,74
2,14960830,10.1539/joh.46.49,2004,True,https://doi.org/10.1539/joh.46.49,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1539/joh.46.49,True,True,False,294,16
3,17219182,10.1007/s00420-006-0165-9,2007,False,https://doi.org/10.1007/s00420-006-0165-9,,True,True,False,261,38
4,35569538,10.1016/j.envres.2022.113431,2022,False,https://doi.org/10.1016/j.envres.2022.113431,,True,True,False,228,170
5,32944748,10.1093/jnci/djaa143,2020,True,https://doi.org/10.1093/jnci/djaa143,https://academic.oup.com/jnci/article-pdf/113/5/580/37798495/djaa143.pdf,True,True,False,201,36
6,27837466,10.1007/s40618-016-0572-z,2016,False,https://doi.org/10.1007/s40618-016-0572-z,,True,True,False,171,85
7,24793953,10.3109/10408444.2014.905767,2014,False,https://doi.org/10.3109/10408444.2014.905767,,True,True,False,168,79
8,29498927,10.1289/ehp2619,2018,True,https://doi.org/10.1289/ehp2619,https://ehp.niehs.nih.gov/doi/pdf/10.1289/EHP2619,True,True,False,156,82
9,32143379,10.3390/ijerph17051668,2020,True,https://doi.org/10.3390/ijerph17051668,https://www.mdpi.com/1660-4601/17/5/1668/pdf?version=1584071407,True,True,False,131,201
10,33751946,10.1016/j.envpol.2021.116929,2021,False,https://doi.org/10.1016/j.envpol.2021.116929,,True,True,False,115,75
11,31008526,10.1002/ijc.32357,2019,False,https://doi.org/10.1002/ijc.32357,,True,True,False,108,33
12,27153767,10.1016/j.taap.2016.05.001,2016,False,https://doi.org/10.1016/j.taap.2016.05.001,,True,True,False,94,80
13,28003637,10.2131/jts.41.sp27,2016,True,https://doi.org/10.2131/jts.41.sp27,https://www.jstage.jst.go.jp/article/jts/41/Special/41_SP27/_pdf,True,True,False,92,50
14,26234195,10.1002/jat.3210,2015,False,https://doi.org/10.1002/jat.3210,,True,True,False,83,70
15,37286242,10.1016/s2542-5196(23)00088-8,2023,True,https://doi.org/10.1016/s2542-5196(23)00088-8,http://www.thelancet.com/article/S2542519623000888/pdf,True,True,False,79,71
16,32700164,10.1007/s00204-020-02848-6,2020,True,https://doi.org/10.1007/s00204-020-02848-6,https://link.springer.com/content/pdf/10.1007/s00204-020-02848-6.pdf,True,True,False,76,63
17,37511474,10.3390/ijms241411707,2023,True,https://doi.org/10.3390/ijms241411707,https://www.mdpi.com/1422-0067/24/14/11707/pdf?version=1689861833,True,True,False,76,137
