,pmid,error_code,error_message
0,17241123,403,Forbidden
1,12615605,403,Forbidden
2,29136149,403,Forbidden
3,17255333,403,Forbidden
4,17242039,403,Forbidden
5,24057998,403,Forbidden
6,37927277,403,Forbidden
7,29168786,403,Forbidden
8,28460087,403,Forbidden
9,27545685,403,Forbidden
10,20338967,403,Forbidden
11,37508933,403,Forbidden
12,38517806,403,Forbidden
13,21909294,403,Forbidden
14,11445065,403,Forbidden
15,32625422,403,Forbidden
16,40264898,403,Forbidden
17,38820021,403,Forbidden
18,15751039,403,Forbidden
19,32121433,403,Forbidden
20,17487876,403,Forbidden
21,29554254,403,Forbidden
22,30691095,403,Forbidden
23,38217613,403,Forbidden
24,37949088,403,Forbidden
25,17047302,403,Forbidden
26,21219333,403,Forbidden
27,23936670,403,Forbidden
28,23358190,403,Forbidden
29,25506807,403,Forbidden
30,25095814,404,Not Found
31,28691715,404,Not Found
32,12076315,403,Forbidden
33,21425334,403,Forbidden
34,37927278,403,Forbidden
35,16963468,403,Forbidden
36,26109889,404,Not Found
37,32316110,403,Forbidden
38,11140828,403,Forbidden
39,41008368,403,Forbidden
40,12805673,403,Forbidden
41,15736686,403,Forbidden
42,28633499,403,Forbidden
43,28613271,403,Forbidden
44,15362105,403,Forbidden
45,18157908,403,Forbidden
46,31829802,403,Forbidden
47,25688361,403,Forbidden
48,34719434,403,Forbidden
49,35203939,403,Forbidden
50,21234368,403,Forbidden
51,32825242,403,Forbidden
52,38113326,403,Forbidden
53,30558363,403,Forbidden
54,37607008,403,Forbidden
55,17046990,403,Forbidden
56,26345149,403,Forbidden
57,32421776,403,Forbidden
58,31781643,403,Forbidden
59,28273839,403,Forbidden
60,27598189,403,Forbidden
61,34068064,403,Forbidden
62,36142718,403,Forbidden
63,38309714,403,Forbidden
64,21234362,403,Forbidden
65,26942037,403,Forbidden
66,32215173,403,Forbidden
67,32481507,403,Forbidden
68,33396565,403,Forbidden
69,24970188,403,Forbidden
70,35267379,403,Forbidden
71,38786023,403,Forbidden
72,36645005,403,Forbidden
73,34306610,403,Forbidden
74,34500451,403,Forbidden
75,33081318,403,Forbidden
76,32375371,403,Forbidden
77,28538683,403,Forbidden
78,30203060,403,Forbidden
79,37174736,403,Forbidden
80,37238000,403,Forbidden
81,25552849,500,500
82,9749572,403,Forbidden
83,35204105,403,Forbidden
84,22408597,403,Forbidden
85,33372994,403,Forbidden
86,14555407,403,Forbidden
87,33383859,403,Forbidden
88,40741694,403,Forbidden
89,32449271,403,Forbidden
90,39677613,403,Forbidden
91,11707429,403,Forbidden
92,30363342,403,Forbidden
93,24205431,403,Forbidden
94,25304210,403,Forbidden
95,17341480,403,Forbidden
96,33049992,403,Forbidden
97,36982297,403,Forbidden
98,19767442,403,Forbidden
99,21402726,403,Forbidden
100,28962525,403,Forbidden
101,22094459,403,Forbidden
102,20929985,403,Forbidden
103,23710172,403,Forbidden
104,34769043,403,Forbidden
105,31420910,403,Forbidden
106,38001883,403,Forbidden
107,33739421,403,Forbidden
108,37373023,403,Forbidden
109,29713567,400,Bad Request
110,21972102,403,Forbidden
