,pmid,error_code,error_message
0,14960830,403,Forbidden
1,32944748,403,Forbidden
2,29498927,403,Forbidden
3,32143379,403,Forbidden
4,37286242,403,Forbidden
5,37511474,403,Forbidden
6,36251517,403,Forbidden
7,33238432,403,Forbidden
8,38298650,403,Forbidden
9,37162486,403,Forbidden
10,38668455,403,Forbidden
11,40283131,403,Forbidden
12,37239535,403,Forbidden
13,38535903,403,Forbidden
14,38668494,403,Forbidden
15,38652827,404,Not Found
16,40066943,403,Forbidden
17,40863342,403,Forbidden
18,41020885,403,Forbidden
19,24007715,403,Forbidden
20,23308854,403,Forbidden
21,37884429,403,Forbidden
22,35740585,403,Forbidden
23,35173445,403,Forbidden
24,34836157,403,Forbidden
25,35736926,403,Forbidden
26,38473344,403,Forbidden
27,21984479,403,Forbidden
28,35563566,403,Forbidden
29,35022659,403,Forbidden
30,37755796,403,Forbidden
31,38345456,403,Forbidden
32,40045703,403,Forbidden
33,40431401,403,Forbidden
34,40504556,403,Forbidden
35,40869875,403,Forbidden
36,33017053,403,Forbidden
37,33498193,403,Forbidden
38,28541558,403,Forbidden
39,34886275,403,Forbidden
40,35877866,403,Forbidden
41,32485148,403,Forbidden
42,18281256,403,Forbidden
43,24284021,403,Forbidden
44,29462473,403,Forbidden
45,35887249,403,Forbidden
46,38523457,403,Forbidden
47,29113040,403,Forbidden
48,36148678,403,Forbidden
49,34434601,403,Forbidden
50,38251466,403,Forbidden
51,38251008,403,Forbidden
52,14757943,403,Forbidden
53,32821792,403,Forbidden
54,40065485,403,Forbidden
55,34029176,403,Forbidden
56,39699232,403,Forbidden
57,41121538,403,Forbidden
58,25226391,404,Not Found
59,34564296,403,Forbidden
60,36668758,403,Forbidden
61,35325096,403,Forbidden
62,38092046,403,Forbidden
63,6609609,403,Forbidden
64,31776573,403,Forbidden
65,29846718,403,Forbidden
66,38227930,403,Forbidden
67,40042489,403,Forbidden
68,9398044,403,Forbidden
69,14629630,403,Forbidden
70,17129391,404,Not Found
71,40130333,403,Forbidden
72,40724183,403,Forbidden
73,16424039,403,Forbidden
74,33819127,403,Forbidden
75,8583806,403,Forbidden
76,21339722,404,Not Found
77,36181250,403,Forbidden
78,36557247,403,Forbidden
79,38930477,403,Forbidden
80,37835138,403,Forbidden
81,40231986,403,Forbidden
82,37622865,403,Forbidden
83,36278678,403,Forbidden
84,25949234,403,Forbidden
85,37505571,403,Forbidden
