pmid, error_code, error_text, error_message,
11100151, 500, Indicate an internal service error, further described by a provided message, [BAD_INPUT_DATA] PDF to XML conversion failed with error code: 1,
35550926, 500, Indicate an internal service error, further described by a provided message, [BAD_INPUT_DATA] PDF to XML conversion failed with error code: 1,
38594123, 500, Indicate an internal service error, further described by a provided message, [BAD_INPUT_DATA] PDF to XML conversion failed with error code: 1,
11511745, 500, Indicate an internal service error, further described by a provided message, [BAD_INPUT_DATA] PDF to XML conversion failed with error code: 1,
9810958, 500, Indicate an internal service error, further described by a provided message, [BAD_INPUT_DATA] PDF to XML conversion failed with error code: 1,
29630901, 500, Indicate an internal service error, further described by a provided message, [BAD_INPUT_DATA] PDF to XML conversion failed with error code: 1,
34352232, 500, Indicate an internal service error, further described by a provided message, [BAD_INPUT_DATA] PDF to XML conversion failed with error code: 1,
38042187, 500, Indicate an internal service error, further described by a provided message, [BAD_INPUT_DATA] PDF to XML conversion failed with error code: 1,
11089940, 500, Indicate an internal service error, further described by a provided message, [BAD_INPUT_DATA] PDF to XML conversion failed with error code: 1,
36842454, 500, Indicate an internal service error, further described by a provided message, [BAD_INPUT_DATA] PDF to XML conversion failed with error code: 1,
11100135, 500, Indicate an internal service error, further described by a provided message, [BAD_INPUT_DATA] PDF to XML conversion failed with error code: 1,
24050700, 500, Indicate an internal service error, further described by a provided message, [BAD_INPUT_DATA] PDF to XML conversion failed with error code: 1,
33388679, 500, Indicate an internal service error, further described by a provided message, [BAD_INPUT_DATA] PDF to XML conversion failed with error code: 1,
35914559, 500, Indicate an internal service error, further described by a provided message, [BAD_INPUT_DATA] PDF to XML conversion failed with error code: 1,
35691030, 500, Indicate an internal service error, further described by a provided message, [BAD_INPUT_DATA] PDF to XML conversion failed with error code: 1,
23446007, 500, Indicate an internal service error, further described by a provided message, [BAD_INPUT_DATA] PDF to XML conversion failed with error code: 1
